肺-主症,Unnamed: 1,Unnamed: 2,八纲辨证,Unnamed: 4,Unnamed: 5,Unnamed: 6,症状,治疗方法,Unnamed: 9,经典方,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
器官,五行,主症,表里,寒热,虚实,阴阳,症状,病机,治疗原则,药材1,来源1,药材2,来源2,药材3,来源3,药材4,来源4
肺,金,风寒犯肺,表,寒,实,/,咳嗽、白痰、痰稀、畏寒、鼻塞、鼻涕清,风寒束表，肺气失宣,辛温解表，宣肺散寒,麻黄、桂枝、苦杏仁、甘草,《伤寒论》-麻黄汤​,紫苏叶、半夏、茯苓、前胡、桔梗、枳壳、甘草、生姜、橘皮、苦杏仁、大枣,《温病条辨》-杏苏散,,,,
肺,金,风热犯肺​,表,热,实,/,咳嗽、黄痰、痰稠、发热、咽痛、鼻涕浊,风热袭表，肺失清肃,辛凉解表，宣肺清热,金银花、连翘、薄荷、牛蒡子、荆芥、淡豆豉、桔梗、竹叶、芦根、甘草,《温病条辨》-银翘散,桑叶、菊花、薄荷、杏仁、桔梗、连翘、芦根、甘草,《温病条辨》-桑菊饮,麻黄、杏仁、石膏、甘草,《伤寒论》-麻杏石甘汤,,
肺,金,燥邪犯肺​,表,燥,实,/,咳嗽、无痰、少痰、痰稠、口干,燥邪伤津，肺失濡润,润燥清肺，滋阴生津,桑叶、杏仁、沙参、浙贝母、淡豆豉、栀子皮、梨皮,《温病条辨》-桑杏汤,紫苏叶、半夏、茯苓、前胡、桔梗、枳壳、甘草、生姜、橘皮、杏仁、大枣,《温病条辨》-杏苏散,桑叶、石膏、人参、胡麻仁、阿胶、麦冬、杏仁、枇杷叶、甘草,《医门法律》-清燥救肺汤,,
肺,金,痰湿阻肺​,里,寒,实,/,咳嗽、白痰、胸闷、气喘、恶心、腹胀、食欲差,痰湿内停，肺气壅阻,燥湿化痰，理气止咳,半夏、陈皮、茯苓、甘草、生姜、乌梅,《太平惠民和剂局方》-二陈汤,紫苏子、白芥子、莱菔子,《杂病广要》-三子养亲汤,,,,
肺,金,痰热壅肺​,里,热,实,/,咳嗽、气喘、黄痰、痰稠、发热,痰热互结，壅滞于肺,清热化痰，宣肺平喘,瓜蒌、黄芩、茯苓、枳实、杏仁、陈皮、胆南星、半夏,《医方考》-清气化痰丸,麻黄、杏仁、石膏、甘草,《伤寒论》-麻杏石甘汤​,苇茎、薏苡仁、冬瓜子、桃仁,《备急千金要方》-千金苇茎汤,桑白皮、地骨皮,今方常用-桑白皮汤
肺,金,饮停胸胁​,里,寒,实,/,胸胁胀满、咳唾引痛、气喘,水饮内停，气机阻滞,攻逐水饮或温阳化饮,芫花、甘遂、大戟、大枣,《伤寒论》-十枣汤,茯苓、桂枝、白术、甘草,《金匮要略》-苓桂术甘汤,椒目、瓜蒌、葶苈子、桑白皮、苏子、半夏、茯苓、橘红、蒺藜、桂枝、生姜,《医醇賸义》-椒目瓜蒌汤​,,
肺,金,肺气虚,里,寒,虚,/,咳嗽、气短、白痰、痰稀、自汗、乏力,肺气亏虚，功能减弱,补益肺气,黄芪、白术、防风,《医方类聚》-玉屏风散,人参、黄芪、熟地、五味子、紫菀、桑白皮,《永类钤方》-补肺汤,,,,
肺,金,肺阴虚​,里,热,虚,/,咳嗽、无痰、少痰、痰带血丝、口干、潮热、盗汗,肺阴亏虚，虚热内生,滋阴润肺,沙参、麦冬、玉竹、天花粉、桑叶、生扁豆、甘草,《温病条辨》-沙参麦冬汤,百合、生地、熟地、麦冬、玄参、当归、白芍、贝母、桔梗、甘草,《慎斋遗书》-百合固金汤​,,,,
肺,金,肺肾阴虚​,里,热,虚,/,咳嗽、无痰、痰带血丝、口干、咽痛、潮热、盗汗、颧红、腰膝酸软,肺肾阴亏，虚火内扰,滋补肺肾，金水相生,百合、生地、熟地、麦冬、玄参、当归、白芍、贝母、桔梗、甘草,《慎斋遗书》-百合固金汤,熟地黄、山茱萸、山药、泽泻、牡丹皮、茯苓、麦冬、五味子,《寿世保元》-麦味地黄丸,,,,
