Unnamed: 0,肉桂,鹿茸,木香,延胡索,防风,独活,天麻,荆芥,薄荷,白术,白芷,干姜,当归,白芍,地榆,大黄,栀子,人参,麻黄,石膏,川芎,甘草,附子,滑石,丁香,黄连,秦艽,茯苓,山药,威灵仙,藿香,赤芍,牛膝,肉苁蓉,山茱萸,杜仲,苍术,全蝎,防己,石菖蒲,紫苏子,川楝子,乌药,薏苡仁,石斛,陈皮,牡丹皮,柴胡,桔梗,吴茱萸,泽泻,葛根,枳实,知母,枇杷叶,五加皮,乌梅,砂仁,草果,白扁豆,菟丝子,地骨皮,茵陈,豆蔻,莪术,沉香,槟榔,甘松,五味子,神曲,补骨脂,香附,连翘,莲子,紫菀,通草,款冬花,阿胶,丹参,柏子仁,百部,蝉蜕,桃仁,何首乌,远志,大枣,黄精,酸枣仁,车前子,鳖甲,桑寄生,瞿麦,山豆根,黄柏,艾叶,菊花,石决明,地肤子,蒲黄,郁金,蜈蚣,射干,覆盆子,红花,白蔹,百合,钩藤,麦芽,王不留行
肉桂,0,2,4,4,1,0,0,3,0,18,14,44,29,10,0,5,1,26,7,1,6,36,7,0,5,2,2,16,3,1,1,16,0,0,1,0,6,0,0,3,3,1,1,0,2,20,4,3,11,1,3,2,0,0,0,1,2,2,0,0,1,0,0,1,3,1,0,1,12,0,0,0,1,0,1,0,0,1,0,3,0,0,0,0,0,1,0,7,7,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
鹿茸,2,0,1,1,0,0,2,0,0,2,0,0,23,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,1,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,7,0,8,0,0,4,0,21,0,0,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
木香,4,1,0,2,4,1,0,4,4,6,0,4,16,5,8,7,0,38,3,0,3,29,23,0,56,21,0,8,3,0,17,1,1,3,2,0,1,0,0,5,5,2,1,1,0,11,1,2,2,0,1,0,1,0,0,0,1,8,0,0,0,0,0,25,7,40,10,2,1,3,0,0,1,0,0,0,0,15,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
延胡索,4,1,2,0,0,0,0,0,0,1,2,1,2,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,0,1,0,1,1,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
防风,1,0,4,0,0,5,12,16,10,1,3,9,9,0,1,1,1,6,3,3,25,13,3,0,1,3,1,3,0,1,0,1,2,0,0,3,3,3,0,1,0,0,0,0,0,0,4,3,2,6,2,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,1,0,11,5,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
独活,0,0,1,0,5,0,1,0,2,0,0,0,1,0,0,1,0,2,2,0,0,5,1,0,1,0,1,0,0,0,0,0,2,0,0,2,2,1,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
天麻,0,2,0,0,12,1,0,2,10,0,1,2,1,0,0,0,0,2,1,0,4,2,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
荆芥,3,0,4,0,16,0,2,0,22,0,3,1,22,4,0,0,0,44,4,3,9,16,5,1,0,4,0,0,1,2,0,4,1,1,0,0,7,3,0,0,0,0,0,0,0,1,3,7,4,4,0,0,0,0,0,0,3,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
薄荷,0,0,4,0,10,2,10,22,0,0,5,1,2,0,0,1,2,11,2,3,4,9,5,2,0,4,0,1,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,2,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,7,0,5,0
白术,18,2,6,1,1,0,0,0,0,0,5,38,10,4,0,0,0,34,4,1,2,33,4,1,3,0,0,25,5,0,9,0,0,0,0,2,3,0,3,0,0,0,2,0,0,10,1,0,5,1,8,2,9,3,0,0,0,1,0,3,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
